metric_name,treatment_id,algorithm,use_masking,avg_rank
avg_waiting,a2c__mask_false,a2c,False,4.100000
avg_waiting,dqn__mask_false,dqn,False,4.500000
avg_waiting,maskable_a2c__mask_true,maskable_a2c,True,1.900000
avg_waiting,maskable_dqn__mask_true,maskable_dqn,True,4.400000
avg_waiting,maskable_ppo__mask_true,maskable_ppo,True,1.700000
avg_waiting,ppo__mask_false,ppo,False,4.400000
avg_slowdown,a2c__mask_false,a2c,False,4.200000
avg_slowdown,dqn__mask_false,dqn,False,4.500000
avg_slowdown,maskable_a2c__mask_true,maskable_a2c,True,1.600000
avg_slowdown,maskable_dqn__mask_true,maskable_dqn,True,4.500000
avg_slowdown,maskable_ppo__mask_true,maskable_ppo,True,1.800000
avg_slowdown,ppo__mask_false,ppo,False,4.400000
max_waiting,a2c__mask_false,a2c,False,1.950000
max_waiting,dqn__mask_false,dqn,False,2.200000
max_waiting,maskable_a2c__mask_true,maskable_a2c,True,3.450000
max_waiting,maskable_dqn__mask_true,maskable_dqn,True,6.000000
max_waiting,maskable_ppo__mask_true,maskable_ppo,True,4.550000
max_waiting,ppo__mask_false,ppo,False,2.850000
max_slowdown,a2c__mask_false,a2c,False,3.650000
max_slowdown,dqn__mask_false,dqn,False,3.600000
max_slowdown,maskable_a2c__mask_true,maskable_a2c,True,2.100000
max_slowdown,maskable_dqn__mask_true,maskable_dqn,True,6.000000
max_slowdown,maskable_ppo__mask_true,maskable_ppo,True,1.600000
max_slowdown,ppo__mask_false,ppo,False,4.050000
avg_turnaround,a2c__mask_false,a2c,False,4.200000
avg_turnaround,dqn__mask_false,dqn,False,4.400000
avg_turnaround,maskable_a2c__mask_true,maskable_a2c,True,2.000000
avg_turnaround,maskable_dqn__mask_true,maskable_dqn,True,4.400000
avg_turnaround,maskable_ppo__mask_true,maskable_ppo,True,1.800000
avg_turnaround,ppo__mask_false,ppo,False,4.200000
cpu_utilization,a2c__mask_false,a2c,False,4.700000
cpu_utilization,dqn__mask_false,dqn,False,3.950000
cpu_utilization,maskable_a2c__mask_true,maskable_a2c,True,1.900000
cpu_utilization,maskable_dqn__mask_true,maskable_dqn,True,3.900000
cpu_utilization,maskable_ppo__mask_true,maskable_ppo,True,1.600000
cpu_utilization,ppo__mask_false,ppo,False,4.950000
gpu_utilization,a2c__mask_false,a2c,False,3.500000
gpu_utilization,dqn__mask_false,dqn,False,3.500000
gpu_utilization,maskable_a2c__mask_true,maskable_a2c,True,3.500000
gpu_utilization,maskable_dqn__mask_true,maskable_dqn,True,3.500000
gpu_utilization,maskable_ppo__mask_true,maskable_ppo,True,3.500000
gpu_utilization,ppo__mask_false,ppo,False,3.500000
episode_reward,a2c__mask_false,a2c,False,4.700000
episode_reward,dqn__mask_false,dqn,False,5.100000
episode_reward,maskable_a2c__mask_true,maskable_a2c,True,1.200000
episode_reward,maskable_dqn__mask_true,maskable_dqn,True,3.000000
episode_reward,maskable_ppo__mask_true,maskable_ppo,True,1.800000
episode_reward,ppo__mask_false,ppo,False,5.200000
decision_latency_mean_ms,a2c__mask_false,a2c,False,3.800000
decision_latency_mean_ms,dqn__mask_false,dqn,False,1.000000
decision_latency_mean_ms,maskable_a2c__mask_true,maskable_a2c,True,4.700000
decision_latency_mean_ms,maskable_dqn__mask_true,maskable_dqn,True,2.000000
decision_latency_mean_ms,maskable_ppo__mask_true,maskable_ppo,True,4.600000
decision_latency_mean_ms,ppo__mask_false,ppo,False,4.900000
eval_wall_s,a2c__mask_false,a2c,False,5.500000
eval_wall_s,dqn__mask_false,dqn,False,4.000000
eval_wall_s,maskable_a2c__mask_true,maskable_a2c,True,2.500000
eval_wall_s,maskable_dqn__mask_true,maskable_dqn,True,1.000000
eval_wall_s,maskable_ppo__mask_true,maskable_ppo,True,2.500000
eval_wall_s,ppo__mask_false,ppo,False,5.500000
